1951383;Nathaniel Meres;pushups;;;
1951392;Dan Hudgens;dears;disassembly;;
1951401;Peter Biltz;theory;accruals;limits;
1951410;Alfred Osburn;commander;;pennant;
1951419;Ann Shelton;pitches;;;
1951428;Lucile Baez;ounce;;;
1951437;William Costello;rattle;implementation;electricians;
1951446;Marcy Sweet;digits;farads;movements;
1951455;Kathleen Brown;spare;;intensity;
1951464;John Ragland;hardcopy;;defection;
1951473;Robert Hunt;cash;air;prisoners;
1951482;Andrea Lorenz;weed;triggers;;
1951491;Mary Shaw;labor;respirations;vehicles;
1951500;Michael Krenz;sidewalk;hairpins;lining;
1951509;Scott Cervantes;limits;;washers;
1951518;Lida Plunkett;reaches;;locomotive;
1951527;Laura Puleio;subtask;bricks;;
1951536;Paula Terepka;lung;;;
1951545;Mary Brown;restraints;brightness;;
1951554;Thomas Carn;gallons;;conjunction;
1951565;Tony Murph;wound;;;
